Username,Comment
@Rahulzeng,Tabhi to bolu ki Europe ke jungle kaise itne jal rhe he😂😂😂
@Rahulzeng,Itna bada fish sirf Bane dame nahar me hi milta he chote Nadi me nahi😂😂😂😂😂
@Rahulzeng,Bhai fish aaphi ne dala janbujhkar😂😂😂😂
@pramodnaik2384,Are bhai chopaol pehenlo year bhohot dar lanrahai app kuch ho na jai
@nilesh1391,"Camera man  may to Durr say hi record karugaa 
Helpless 😢"
@Jonyvlog-m2m,I hate dubbed video more hate is hindi hopeless pls stop this kind of dubbed video they are trying so hard for there subscriber to watch happy but you guys are simply sitting in a comfortable place and just talking this and that.
@djkobir7791,Bangladesh ❤❤❤❤❤❤❤❤
@VlogerX001,Camra men never die 😢 4:30
@imranalam6481,Video Quality thoda aur badha diya kro atleast 2k to kr do
@ziaburrahman6690,Tum single nahe ho😂😂😂😂
@tusar0096,Camera men Kiya karaha tha ❤❤😂😂😂😮😮
@HANX_ster,Bro 2014 ki yad dila di😢
@Mayankraval-zc5dc,❤❤❤❤
@ALLNEWMOVIE-d8n,Kon kon //ODISHA//Se hai ♥️ like karo
@MdSifat-l6f,camera men never die
@RajuGuru-b4q,Sdffewefe on my phone on my way home now on the same my way home now and then delete this email is strictly forbidden and then we will have a good time for me and I am a little more bodybuilder vs my phone is strictly forbidden to be in touch and I am not on my phone on my way home from the end to end of this week to be a little more bodybuilder real stick with it and then delete this email and I will have a good time for the end to end of this email
@Utkarshh00,Camera man kon h
@Ral.F.F.b,❤
@Sandeepfitnessboy-,Shoes pehen liya karo jab aap jungle me nange pair chalte ho to mujhe dard hota hai 😢😢
@samalight8721,John Wick 😂
@CHANDRIKA2007-b4h,Bear Grylls ❤
@Iitandhruba,Kon kon 11th me?😅
@showyouraim6902,27 Oct 2024 ko kon dekh rha hai like kare😂😂cg Wale to jarur like kare😂
@soumyaranjanprusty6154,Why he is not using boot 😮
@gautomdutta2384,Daily one ep plz
@VikshGautam-b4u,😊😊😮😮🎉🎉❤
@arojsekh1545,Bear grill se aage
@virusboy8164,Yrr dost ek baat bata chappal to pahen Leta. Nange per Jana jaruri h kya agar kaata chup gaya to
@Spark77.7,15:24 😢😊 good luck monkey🐒🐵🙈
@studytimeandplaytime8739,Usse dekh hamko dar lag raha hai itni badi forest me Khali foot chal rahe hai
@Dollytyagi-g4l,Aaara wha ladka😂
@sadiqshah9649,You are a big lair 😂
@bhuvaneshchandra4078,Bradely cooper
@JoydeepBhowmik-gs6wq,Hour 💌🌺
@GideonteronGideonteron,This is my aim in life I really want to explore the nature...
@ALONE-iq9vt,Amazing 😍
@TarasHansda-ct4xq,Who interested to explore the forest ❤
@diash9593,😂😂 But why Cameraman never in danger ⚡😅
@NilutpalBorah-zs8wt,Ake nhi gaya ho cammera man tumhare sath hein ❤😊
@prabalSarma..64,Why you don't ware a slipers or choes ?
@Satishbhilalaa,Bechare cemaramen  bhi nahi dikhaya
@Riteshthakur-85,Nice
@StarRajofficial,Are you married Dezen sir❤❤😊
@VishnuDas-r3q,Your are best surviver best of luck sir 🤞 carry on 🫡🫡🫡
@aju710,33:10
@TheEchoNova,Camera man Atma hai kyare? 25:21
@AbhishekGupta-ew9fe,Aadha hakikat aadha fasana😂😂😂😂😂😂😂😂
@pradeepangarkhe2544,अँड स्कोर
@pradeepangarkhe2544,मी तुमच्यासोबत आलो तर चालेल का
@RohitChaudhari-vi2ce,😮😮😮
@jameenjames3989,I also like this and waiting for new episode
@ईशवरचौधरी-ण1झ,ईस भाई ने आग बूझाई नहीं इसी तरह जंगल में आग लगती है
@brotherrameez,Camera man kon ha
@Lofi_world_0.7,BHAI KOI MUJHE BAta Do VIDEO KAON BANA RAHA HOTA H 🤔🤔
@Lofi_world_0.7,BHAI KOI MUJHE BAta VEDEO KAON BANA RAHA H 😮😅
@swadhinghosh8845,http://www.youtube.com/@UltraTechAnalise
@deepsingh9891,Nange pair😮
@Susan-qo7sk,Nepali log like kardo😊
@xdgRaju,ਖਾਲਸਾ ਇਦਾਂ ਨਹੀਂ ਕਰਦਾ
@CHETTRY-y9l,Camra man is real legend in video 😂
@arohikumar2353,Younger brother of bear Grylls 🥶
@PinkuRaaj-ix9iw,😮😮😮😮
@sohilkumar-t7t,NICE TRY BUT DON'T TRY AGAIN
@RajatGorh,19:00 what ? 😂😂😂
@Anime_guruM,75% fake
@shortsaylenvlog7400,Akela h to cemera kon kr h lowra 😂😂😂
@benhaj750,This caterpillar sting me many times so painful
@VikasKumarMeravi,Har video me 18 sal ya bachpan se karna chahte the😅
@i.stechnical1056,Best part jaint fish mil gyi pet bhar Kar khana mil gaya 😊
@Jaminikharsel1324,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥💯🔥🔥🔥🔥🔥🔥🔥🔥💯💯🔥🔥💯💯💯💯💯💯🔥🔥🔥🔥🔥🔥🔥🔥🔥
@RandomvideoAka,He catch first small fish and it rotten  use fish for bate and big fish eat that dead smell rotted it is not suitable for eating I'm right
@SumerShaikh-x4o,Super 💯
@SumerShaikh-x4o,Brrvo😮
@RakeshTripura-p6l,If you are alone where is the camera men  lol
@maya.v.official,Camera kaise charge krta hai bhai
